Asteroids	platforms	Arcade, [[#Ports
Jinxter	platforms	Spectrum +3
Ramsgate railway station	platforms	4
Margate railway station	platforms	4
Tonbridge railway station	platforms	4
Paddock Wood railway station	platforms	3
Border Zone	platforms	Amiga
Border Zone	platforms	Apple II family
Border Zone	platforms	Atari ST
Border Zone	platforms	Commodore 64
Border Zone	platforms	MS-DOS
Border Zone	platforms	Apple Macintosh
Bangor	platforms	2
Arnside railway station	platforms	2
Silverdale railway station	platforms	2
Bomberman 64: The Second Attack	platforms	Nintendo 64
Hildenborough railway station	platforms	2
Ashchurch for Tewkesbury railway station	platforms	2
Propeller Arena	platforms	Dreamcast
Cromford railway station	platforms	1
Whatstandwell railway station	platforms	1
Sea Dogs	platforms	Microsoft Windows
Pokémon XD: Gale of Darkness	platforms	Nintendo GameCube
Leigh railway station	platforms	2
High Brooms railway station	platforms	2
Edenbridge railway station	platforms	2
Penshurst railway station	platforms	2
Godstone railway station	platforms	2
Tunbridge Wells railway station	platforms	2
Nutfield railway station	platforms	2
Pluckley railway station	platforms	2
Edenbridge Town railway station	platforms	2
Staplehurst railway station	platforms	2
Marden railway station	platforms	2
Headcorn railway station	platforms	2
Journey to Rooted Hold	platforms	IBM PC compatible
Journey to Rooted Hold	platforms	Microsoft Windows
Journey to Rooted Hold	platforms	Linux
Journey to Rooted Hold	platforms	Mac OS X
Martin Mill railway station	platforms	2
Westenhanger railway station	platforms	2
Walmer railway station	platforms	2
Sandling railway station	platforms	2
Deal railway station	platforms	2
Folkestone West railway station	platforms	2
Sandwich railway station	platforms	2
Folkestone Central railway station	platforms	2
Minster railway station	platforms	2
Sturry railway station	platforms	2
Chilham railway station	platforms	2
Chartham railway station	platforms	2
Wye railway station	platforms	2
Charing railway station	platforms	2
Lenham railway station	platforms	2
Harrietsham railway station	platforms	2
Hollingbourne railway station	platforms	2
Bearsted railway station	platforms	2
Barming railway station	platforms	2
Nord and Bert Couldn't Make Head or Tail of It	platforms	Amiga
Nord and Bert Couldn't Make Head or Tail of It	platforms	Apple II family
Nord and Bert Couldn't Make Head or Tail of It	platforms	Atari ST
Nord and Bert Couldn't Make Head or Tail of It	platforms	Commodore 64
Nord and Bert Couldn't Make Head or Tail of It	platforms	DOS
Nord and Bert Couldn't Make Head or Tail of It	platforms	Apple Macintosh
Matlock Bath railway station	platforms	1
Matlock railway station	platforms	2
Skyfox	platforms	Apple II
Skyfox	platforms	Apple Macintosh
Skyfox	platforms	Amiga
Skyfox	platforms	Atari ST
Skyfox	platforms	Commodore 64
Skyfox	platforms	ZX Spectrum
Skyfox	platforms	Amstrad CPC
Belper railway station	platforms	2
Duffield railway station	platforms	3
Berney Arms railway station	platforms	1
Ambergate railway station	platforms	1
Reedham	platforms	2
Great Yarmouth railway station	platforms	4
Acle railway station	platforms	2
Norwich railway station	platforms	6
East Malling railway station	platforms	2
Warhammer 40,000: Chaos Gate	platforms	Microsoft Windows
West Malling railway station	platforms	2
Borough Green & Wrotham railway station	platforms	2
Kemsing railway station	platforms	2
Westgate-on-Sea railway station	platforms	2
Chestfield & Swalecliffe railway station	platforms	2
Birchington-on-Sea railway station	platforms	2
Whitstable railway station	platforms	2
Herne Bay railway station	platforms	2
Sherlock: The Riddle of the Crown Jewels	platforms	Amiga
Sherlock: The Riddle of the Crown Jewels	platforms	Apple II family
Sherlock: The Riddle of the Crown Jewels	platforms	Atari ST
Sherlock: The Riddle of the Crown Jewels	platforms	Commodore 64
Sherlock: The Riddle of the Crown Jewels	platforms	DOS
Sherlock: The Riddle of the Crown Jewels	platforms	Apple Macintosh
Broadstairs railway station	platforms	2
Dumpton Park railway station	platforms	2
Kemsley railway station	platforms	2
Swale railway station	platforms	1
Sheerness-on-Sea railway station	platforms	2
Queenborough railway station	platforms	2
Cuxton railway station	platforms	2
Maidstone West railway station	platforms	2
Maidstone Barracks railway station	platforms	2
Jumpgate: The Reconstruction Initiative	platforms	Microsoft Windows
Robertsbridge railway station	platforms	2
Stonegate railway station	platforms	2
Etchingham railway station	platforms	2
Frant railway station	platforms	2
Wateringbury railway station	platforms	2
East Farleigh railway station	platforms	2
Beltring railway station	platforms	2
Yalding railway station	platforms	2
Halling railway station	platforms	2
New Hythe railway station	platforms	2
Aylesford railway station	platforms	2
Snodland railway station	platforms	2
Crowhurst railway station	platforms	2
West St Leonards railway station	platforms	2
Wadhurst railway station	platforms	2
Battle railway station	platforms	2
Rye House railway station	platforms	2
Theobalds Grove railway station	platforms	2
St Margarets	platforms	2
St Leonards Warrior Square railway station	platforms	2
Broxbourne railway station	platforms	4
Cheshunt railway station	platforms	3
Ware railway station	platforms	1
Waltham Cross railway station	platforms	2
Hertford East railway station	platforms	2
Vigilante 8: 2nd Offense	platforms	Nintendo 64
Vigilante 8: 2nd Offense	platforms	Dreamcast
Vigilante 8: 2nd Offense	platforms	PlayStation
Whifflet railway station	platforms	2
Plundered Hearts	platforms	Amiga
Plundered Hearts	platforms	Apple II family
Plundered Hearts	platforms	Atari 8-bit family
Plundered Hearts	platforms	Atari ST
Plundered Hearts	platforms	Commodore 64
Plundered Hearts	platforms	DOS
Plundered Hearts	platforms	Apple Macintosh
Bomberman Max	platforms	Game Boy Color
Bexhill railway station	platforms	2
Collington railway station	platforms	2
Cooden Beach railway station	platforms	2
Normans Bay railway station	platforms	2
Pevensey & Westham railway station	platforms	2
Pevensey Bay railway station	platforms	2
Michael Jordan: Chaos in the Windy City	platforms	Super Nintendo Entertainment System
The Ooze	platforms	Sega Genesis
SourceForts	platforms	Microsoft Windows client
SourceForts	platforms	Windows and Linux server
The Legend of the Mystical Ninja	platforms	Super Nintendo Entertainment System
The Legend of the Mystical Ninja	platforms	Game Boy Advance
The Legend of the Mystical Ninja	platforms	Virtual Console
Ham Street railway station	platforms	2
Three Oaks railway station	platforms	1
Appledore	platforms	2
Winchelsea railway station	platforms	1
Ore railway station	platforms	2
Doleham railway station	platforms	1
Rye railway station	platforms	2
Teenage Mutant Ninja Turtles III: The Manhattan Project	platforms	Nintendo Entertainment System
Star Wars: Rebel Assault	platforms	MS-DOS
Star Wars: Rebel Assault	platforms	Sega CD
Star Wars: Rebel Assault	platforms	Mac OS
Star Wars: Rebel Assault	platforms	3DO Interactive Multiplayer
Half-Life 2: Episode One	platforms	Microsoft Windows
Half-Life 2: Episode One	platforms	Xbox 360
Half-Life 2: Episode One	platforms	PlayStation 3
Half-Life 2: Episode One	platforms	OS X
Half-Life 2: Episode One	platforms	Linux
James Clavell's Shōgun	platforms	Amiga
James Clavell's Shōgun	platforms	Apple II family
James Clavell's Shōgun	platforms	DOS
James Clavell's Shōgun	platforms	Apple Macintosh
Star Wars: Rebel Assault II: The Hidden Empire	platforms	Microsoft Windows
Star Wars: Rebel Assault II: The Hidden Empire	platforms	PlayStation
Star Wars: Rebel Assault II: The Hidden Empire	platforms	Mac OS
The Pawn	platforms	Amiga
The Pawn	platforms	Amstrad CPC
The Pawn	platforms	Amstrad PCW
The Pawn	platforms	Apple II
The Pawn	platforms	Acorn Archimedes
The Pawn	platforms	Atari ST
The Pawn	platforms	Atari 8-bit
The Pawn	platforms	Commodore 64
The Pawn	platforms	MS-DOS
The Pawn	platforms	Apple Macintosh
The Pawn	platforms	Sinclair QL
The Pawn	platforms	Sinclair Spectrum
Lewes railway station	platforms	5
Hampden Park railway station	platforms	2
Eastbourne railway station	platforms	3
Polegate railway station	platforms	2
Glynde railway station	platforms	2
Berwick	platforms	2
Journey	platforms	Amiga
Journey	platforms	Apple II family
Journey	platforms	DOS
Journey	platforms	Apple Macintosh
Moulsecoomb railway station	platforms	2
London Road	platforms	2
Mortal Kombat Mythologies: Sub-Zero	platforms	PlayStation
Mortal Kombat Mythologies: Sub-Zero	platforms	Nintendo 64
Untold Legends: Brotherhood of the Blade	platforms	PlayStation Portable
RollerCoaster Tycoon 2	platforms	Microsoft Windows
Cantley railway station	platforms	2
Lowestoft railway station	platforms	3
Oulton Broad South railway station	platforms	1
Oulton Broad North railway station	platforms	2
Beccles railway station	platforms	2
Woodbridge railway station	platforms	2
Yoshi's Universal Gravitation	platforms	Game Boy Advance
Felixstowe railway station	platforms	1
Derby Road railway station	platforms	2
Westerfield railway station	platforms	2
Trimley railway station	platforms	1
Madden NFL 2002	platforms	PlayStation
Madden NFL 2002	platforms	PlayStation 2
Madden NFL 2002	platforms	Microsoft Windows
Madden NFL 2002	platforms	Game Boy Color
Madden NFL 2002	platforms	Nintendo 64
Madden NFL 2002	platforms	Xbox
Madden NFL 2002	platforms	Nintendo GameCube
Madden NFL 2002	platforms	Game Boy Advance
Madden NFL 2003	platforms	Game Boy Advance
Madden NFL 2003	platforms	Microsoft Windows
Madden NFL 2003	platforms	Nintendo GameCube
Madden NFL 2003	platforms	PlayStation
Madden NFL 2003	platforms	PlayStation 2
Madden NFL 2003	platforms	Xbox
Mortal Kombat: Special Forces	platforms	PlayStation
Indiana Jones and the Infernal Machine	platforms	Windows 9x
Indiana Jones and the Infernal Machine	platforms	Nintendo 64
Indiana Jones and the Infernal Machine	platforms	Game Boy Color
Mortal Kombat Gold	platforms	Dreamcast
NBA Live 2002	platforms	PlayStation 2
NBA Live 2002	platforms	PlayStation
NBA Live 2002	platforms	Xbox
NBA Live 2001	platforms	PlayStation
NBA Live 2001	platforms	PlayStation 2
NBA Live 2001	platforms	Windows
NBA Live 2003	platforms	PlayStation 2
NBA Live 2003	platforms	Xbox
NBA Live 2003	platforms	Nintendo GameCube
NBA Live 2003	platforms	PlayStation
NBA Live 2003	platforms	Microsoft Windows
Midnight Club 3: DUB Edition	platforms	PlayStation 2
Midnight Club 3: DUB Edition	platforms	Xbox
Midnight Club 3: DUB Edition	platforms	PlayStation Portable
NBA Live 2000	platforms	Microsoft Windows
NBA Live 2000	platforms	PlayStation
NBA Live 2000	platforms	Nintendo 64
NBA Live 2004	platforms	PlayStation 2
NBA Live 2004	platforms	Xbox
NBA Live 2004	platforms	Nintendo GameCube
NBA Live 2004	platforms	Microsoft Windows
NBA Live 2005	platforms	PlayStation 2
NBA Live 2005	platforms	Xbox
NBA Live 2005	platforms	Nintendo GameCube
NBA Live 2005	platforms	Microsoft Windows
Resident Evil	platforms	PlayStation
Resident Evil	platforms	Microsoft Windows
Resident Evil	platforms	Sega Saturn
Resident Evil	platforms	Nintendo DS
Redhill railway station	platforms	3
War Gods	platforms	Arcade game
War Gods	platforms	PlayStation
War Gods	platforms	Nintendo 64
War Gods	platforms	Microsoft Windows
Primal	platforms	PlayStation 2
Gunstar Super Heroes	platforms	Game Boy Advance
Bryn railway station	platforms	2
Plotting	platforms	Arcade game
Plotting	platforms	Atari ST
Plotting	platforms	Amiga
Plotting	platforms	Commodore 64
Plotting	platforms	Amstrad CPC
Plotting	platforms	Amstrad GX4000
Plotting	platforms	ZX Spectrum
Plotting	platforms	Nintendo Entertainment System
Plotting	platforms	Game Boy
Sasa	platforms	MSX
Sasa	platforms	Nintendo Entertainment System
Shogo: Mobile Armor Division	platforms	Microsoft Windows
Shogo: Mobile Armor Division	platforms	Mac OS
Shogo: Mobile Armor Division	platforms	WarpOS
Shogo: Mobile Armor Division	platforms	Linux
Kid Kool	platforms	Nintendo Entertainment System
Snowboard Kids	platforms	Nintendo 64
Snowboard Kids	platforms	PlayStation
Top Gear Rally	platforms	Nintendo 64
Top Gear Rally	platforms	Game Boy Advance
Merstham railway station	platforms	2
Horley railway station	platforms	4
Earlswood	platforms	2
Salfords railway station	platforms	2
Horsham railway station	platforms	4
Age of Mythology	platforms	Microsoft Windows
Age of Mythology	platforms	OS X
Spawn: Armageddon	platforms	PlayStation 2
Spawn: Armageddon	platforms	Nintendo GameCube
Spawn: Armageddon	platforms	Xbox
The Bouncer	platforms	PlayStation 2
Super Star Wars	platforms	Super Nintendo Entertainment System
Super Star Wars	platforms	Virtual Console
Super Star Wars	platforms	PlayStation 4
Super Star Wars	platforms	PlayStation Vita
Aldershot railway station	platforms	3
Ipswich railway station	platforms	4
Super Star Wars: The Empire Strikes Back	platforms	Super Nintendo Entertainment System
Super Star Wars: Return of the Jedi	platforms	Super Nintendo Entertainment System
Super Star Wars: Return of the Jedi	platforms	Game Boy
Super Star Wars: Return of the Jedi	platforms	Game Gear
Robopon 2 Ring and Cross Versions	platforms	Game Boy Advance
Braintree Freeport railway station	platforms	1
Braintree railway station	platforms	1
SuperPower 2	platforms	Microsoft Windows
Tiger Woods PGA Tour 2003	platforms	Xbox
Tiger Woods PGA Tour 2003	platforms	PlayStation 2
Tiger Woods PGA Tour 2003	platforms	Nintendo GameCube
Tiger Woods PGA Tour 2003	platforms	Microsoft Windows
Tiger Woods PGA Tour 2003	platforms	Mac OS
Tiger Woods PGA Tour 2003	platforms	Mobile phone
Tiger Woods PGA Tour 2004	platforms	PlayStation 2
Tiger Woods PGA Tour 2004	platforms	GameCube
Tiger Woods PGA Tour 2004	platforms	Xbox
Tiger Woods PGA Tour 2004	platforms	Game Boy Advance
Tiger Woods PGA Tour 2004	platforms	N-Gage
Tiger Woods PGA Tour 2004	platforms	Microsoft Windows
Tiger Woods PGA Tour 2004	platforms	Mobile game
Star Wars: Yoda Stories	platforms	Game Boy Color
Star Wars: Yoda Stories	platforms	Microsoft Windows
Sega Worldwide Soccer 97	platforms	Sega Saturn
Sega Worldwide Soccer 97	platforms	Microsoft Windows
Resident Evil – Code: Veronica	platforms	Dreamcast
Resident Evil – Code: Veronica	platforms	PlayStation 2
Resident Evil – Code: Veronica	platforms	GameCube
Resident Evil – Code: Veronica	platforms	Xbox 360
Resident Evil – Code: Veronica	platforms	PlayStation 3
Archon II: Adept	platforms	Amiga
Archon II: Adept	platforms	Amstrad CPC
Archon II: Adept	platforms	Apple II
Archon II: Adept	platforms	Atari 8-bit
Archon II: Adept	platforms	Commodore 64
Archon II: Adept	platforms	ZX Spectrum
Seaford	platforms	1
Southease railway station	platforms	2
Bishopstone railway station	platforms	1
Newhaven Town railway station	platforms	2
Uckfield railway station	platforms	1
Buxted railway station	platforms	1
Crowborough railway station	platforms	2
Eridge railway station	platforms	3
Ashurst	platforms	2
Cowden railway station	platforms	1
Prey	platforms	Linux
Prey	platforms	Mac OS X
Prey	platforms	Microsoft Windows
Prey	platforms	Xbox 360
Prey	platforms	Symbian
Prey	platforms	Zeebo
Hever railway station	platforms	2
Woldingham railway station	platforms	2
Lingfield railway station	platforms	2
Upper Warlingham railway station	platforms	2
Hurst Green railway station	platforms	2
Oxted railway station	platforms	3
Dormans railway station	platforms	2
Stronghold	platforms	Mac OS X
Stronghold	platforms	Microsoft Windows
East Grinstead railway station	platforms	2
East Grinstead railway station	platforms	4
Reach for the Stars	platforms	MS-DOS
Reach for the Stars	platforms	Apple II
Reach for the Stars	platforms	Apple IIGS
Reach for the Stars	platforms	Mac OS
Reach for the Stars	platforms	Commodore 64
Reach for the Stars	platforms	Amiga
Reach for the Stars	platforms	Microsoft Windows
Fire Emblem Gaiden	platforms	Nintendo Entertainment System
Balcombe railway station	platforms	2
Haywards Heath railway station	platforms	4
Preston Park railway station	platforms	3
Burgess Hill railway station	platforms	2
Hassocks railway station	platforms	2
Wivelsfield railway station	platforms	2
Saturn Bomberman	platforms	Sega Saturn
Police 911	platforms	Arcade game
Police 911	platforms	PlayStation 2
Gloucester Eastgate railway station	platforms	4
Downham Market railway station	platforms	2
Watlington railway station	platforms	2
King's Lynn railway station	platforms	3
Littleport railway station	platforms	2
Waterbeach railway station	platforms	2
Ely railway station	platforms	3
Dino Crisis	platforms	PlayStation
Dino Crisis	platforms	Dreamcast
Dino Crisis	platforms	Microsoft Windows
Jackal	platforms	Arcade, NES, FDS, ZX Spectrum, Commodore 64, IBM PC, Mobile phone, XBLA via Game Room
Cambridge railway station	platforms	8
Depthcharge	platforms	Arcade game
Fighters Megamix	platforms	Sega Saturn
Fighters Megamix	platforms	Game.com
0 A.D.	platforms	Microsoft Windows
0 A.D.	platforms	OS X
0 A.D.	platforms	Linux
Whyteleafe railway station	platforms	2
Caterham railway station	platforms	2
Whyteleafe South railway station	platforms	2
Tattenham Corner railway station	platforms	3
Gee Bee Air Rally	platforms	Commodore 64
Gee Bee Air Rally	platforms	Amiga
Gee Bee Air Rally	platforms	Amstrad CPC
Gee Bee Air Rally	platforms	ZX Spectrum
Empire Earth II	platforms	Microsoft Windows
Aviemore railway station	platforms	3
Watford Stadium Halt railway station	platforms	1
Bentley	platforms	2
Aviemore	platforms	2
University	platforms	2
Five Ways railway station	platforms	2
The Hawthorns station	platforms	2
Pac-Pix	platforms	Nintendo DS
Nanostray	platforms	Nintendo DS
Joint Operations: Typhoon Rising	platforms	Microsoft Windows
Body Harvest	platforms	Nintendo 64
Duddeston railway station	platforms	2
Shadow of the Colossus	platforms	PlayStation 2
Lotus	platforms	Amiga
Lotus	platforms	Amiga CD32
Lotus	platforms	Amstrad CPC
Lotus	platforms	Atari ST
Lotus	platforms	Commodore 64
Lotus	platforms	ZX Spectrum
Lotus	platforms	Acorn Archimedes
Lotus	platforms	Sega Genesis
Lotus	platforms	MS-DOS
State of Emergency	platforms	PlayStation 2
State of Emergency	platforms	Xbox
State of Emergency	platforms	Microsoft Windows
S.D.I.	platforms	Amiga
S.D.I.	platforms	Atari ST
S.D.I.	platforms	DOS
S.D.I.	platforms	Macintosh
The Movies	platforms	Microsoft Windows
The Movies	platforms	Mac OS X
Kirby: Canvas Curse	platforms	Nintendo DS
Kirby: Canvas Curse	platforms	Wii U
Stargoose	platforms	Atari ST
Stargoose	platforms	Amiga
Stargoose	platforms	PC compatible
Striker	platforms	Amiga
Striker	platforms	Atari ST
Striker	platforms	Amiga CD32
Striker	platforms	Mega Drive
Striker	platforms	MS-DOS
Striker	platforms	Super Nintendo Entertainment System
F-1 Race	platforms	Nintendo Entertainment System
F-1 Race	platforms	Game Boy
Fooblitzky	platforms	Apple II family
Fooblitzky	platforms	Atari 8-bit family
Fooblitzky	platforms	MS-DOS
Transarctica	platforms	Amiga
Transarctica	platforms	Atari ST
Transarctica	platforms	Atari Falcon
Transarctica	platforms	MS-DOS
Transarctica	platforms	Macintosh
Madden NFL 06	platforms	PlayStation 2
Madden NFL 06	platforms	Nintendo GameCube
Madden NFL 06	platforms	Xbox
Madden NFL 06	platforms	Xbox 360
Madden NFL 06	platforms	Microsoft Windows
Madden NFL 06	platforms	Windows Mobile
Madden NFL 06	platforms	PlayStation Portable
Madden NFL 06	platforms	Game Boy Advance
Madden NFL 06	platforms	Nintendo DS
Madden NFL 06	platforms	Mobile game
Leather Goddesses of Phobos 2: Gas Pump Girls Meet the Pulsating Inconvenience from Planet X!	platforms	IBM PC
Heroes of Might and Magic IV	platforms	Microsoft Windows
Heroes of Might and Magic IV	platforms	Mac OS
The 11th Hour	platforms	Microsoft Windows
The 11th Hour	platforms	Mac OS
The 11th Hour	platforms	OS X
Hi-Octane	platforms	PC , PlayStation, Saturn
Mystical Ninja Starring Goemon	platforms	Nintendo 64
Haunting Ground	platforms	PlayStation 2
Fantastic Dizzy	platforms	Nintendo Entertainment System
Fantastic Dizzy	platforms	MS-DOS
Fantastic Dizzy	platforms	Sega Master System
Fantastic Dizzy	platforms	Sega Genesis
Fantastic Dizzy	platforms	Amiga
Fantastic Dizzy	platforms	Sega Game Gear
Fantastic Dizzy	platforms	Amiga CD32
MegaMek	platforms	Cross-platform
Forza Motorsport	platforms	Xbox
Circuit's Edge	platforms	DOS
Die Hard Arcade	platforms	Arcade game
Die Hard Arcade	platforms	Sega Saturn
Die Hard Arcade	platforms	PlayStation 2
Die Hard Arcade	platforms	PlayStation Network
High Wycombe railway station	platforms	3
Heysham Port railway station	platforms	1
Morecambe railway station	platforms	2
MetroCentre railway station	platforms	2
New Super Mario Bros.	platforms	Nintendo DS
Pacific General	platforms	PC
Spelljammer: Pirates of Realmspace	platforms	MS-DOS
Dark Sun: Shattered Lands	platforms	MS-DOS
Eternal Lands	platforms	Microsoft Windows
Eternal Lands	platforms	Linux
Eternal Lands	platforms	Mac OS X
Lure of the Temptress	platforms	DOS
Lure of the Temptress	platforms	Amiga
Lure of the Temptress	platforms	Atari ST
Woburn Sands railway station	platforms	2
SimsVille	platforms	Personal computer
Bow Brickhill railway station	platforms	2
Bedford St Johns railway station	platforms	1
Streets of Rage 3	platforms	Sega Genesis
Bedford railway station	platforms	5
Jak X: Combat Racing	platforms	PlayStation 2
Newport railway station	platforms	4
Destruction Derby Arenas	platforms	PlayStation 2
Witchaven II: Blood Vengeance	platforms	MS-DOS
Team Fortress 2	platforms	Microsoft Windows
Team Fortress 2	platforms	Xbox 360
Team Fortress 2	platforms	PlayStation 3
Team Fortress 2	platforms	OS X
Team Fortress 2	platforms	Linux
Heroes of Might and Magic III: Armageddon's Blade	platforms	Microsoft Windows
Heroes of Might and Magic III: Armageddon's Blade	platforms	Macintosh
Grandia: Parallel Trippers	platforms	Game Boy Color
Bio F.R.E.A.K.S.	platforms	Nintendo 64
Bio F.R.E.A.K.S.	platforms	PlayStation
Bio F.R.E.A.K.S.	platforms	Microsoft Windows
Grandia: Digital Museum	platforms	Sega Saturn
Kinetica	platforms	PlayStation 2
Adventure Island	platforms	Nintendo Entertainment System
Adventure Island	platforms	MSX
Adventure Island	platforms	Game Boy
Adventure Island	platforms	Gamate
Adventure Island	platforms	Game Boy Advance
Adventure Island	platforms	GameCube
Adventure Island	platforms	PlayStation 2
Adventure Island	platforms	Virtual Console
Marlow railway station	platforms	1
SSX on Tour	platforms	GameCube
SSX on Tour	platforms	PlayStation 2
SSX on Tour	platforms	Xbox
SSX on Tour	platforms	PlayStation Portable
Donkey Kong Jr. Math	platforms	Nintendo Entertainment System
SolarStriker	platforms	Game Boy
Star Wars: Rebellion	platforms	IBM PC compatible
Star Wars: Episode III – Revenge of the Sith	platforms	PlayStation 2
Star Wars: Episode III – Revenge of the Sith	platforms	Xbox
Star Wars: Episode III – Revenge of the Sith	platforms	Game Boy Advance
Star Wars: Episode III – Revenge of the Sith	platforms	Nintendo DS
Star Wars: Episode III – Revenge of the Sith	platforms	Mobile phone
Star Wars: Episode III – Revenge of the Sith	platforms	Handheld TV game
Star Wars: Episode III – Revenge of the Sith	platforms	PlayStation Network
Chameleon Twist 2	platforms	Nintendo 64
Operation Flashpoint: Dragon Rising	platforms	Microsoft Windows
Operation Flashpoint: Dragon Rising	platforms	PlayStation 3
Operation Flashpoint: Dragon Rising	platforms	Xbox 360
Prince of Persia: The Two Thrones	platforms	PlayStation 2
Prince of Persia: The Two Thrones	platforms	Nintendo GameCube
Prince of Persia: The Two Thrones	platforms	Xbox
Prince of Persia: The Two Thrones	platforms	PlayStation 3
Prince of Persia: The Two Thrones	platforms	Wii
Prince of Persia: The Two Thrones	platforms	PlayStation Portable
Prince of Persia: The Two Thrones	platforms	Mac OS X
Prince of Persia: The Two Thrones	platforms	Microsoft Windows
Star Ocean: Blue Sphere	platforms	Game Boy Color
Star Ocean: Blue Sphere	platforms	Mobile phone
Silent Hunter III	platforms	Personal computer
Progear	platforms	Arcade game
Progear	platforms	I-mode
Progear	platforms	Au
Progear	platforms	Yahoo Mobile
Heroes of Might and Magic II	platforms	DOS
Heroes of Might and Magic II	platforms	Microsoft Windows
Heroes of Might and Magic II	platforms	Mac OS
Heroes of Might and Magic II	platforms	RISC OS
Heroes of Might and Magic II	platforms	Game Boy Color
Rebelstar	platforms	ZX Spectrum
Rebelstar	platforms	Amstrad CPC
Dragon Force	platforms	Sega Saturn
Dragon Force	platforms	PlayStation 2
Dragon Force	platforms	PlayStation Network
Cold Winter	platforms	PlayStation 2
Tony Hawk's American Wasteland	platforms	PlayStation 2
Tony Hawk's American Wasteland	platforms	Xbox
Tony Hawk's American Wasteland	platforms	GameCube
Tony Hawk's American Wasteland	platforms	Xbox 360
Tony Hawk's American Wasteland	platforms	Microsoft Windows
Sly 3: Honor Among Thieves	platforms	PlayStation 2
Sly 3: Honor Among Thieves	platforms	PlayStation 3
Sly 3: Honor Among Thieves	platforms	PlayStation Vita
Justice League Task Force	platforms	Sega Genesis
Justice League Task Force	platforms	Super Nintendo Entertainment System
Simon the Sorcerer II: The Lion, the Wizard and the Wardrobe	platforms	Amiga
Simon the Sorcerer II: The Lion, the Wizard and the Wardrobe	platforms	Macintosh
Simon the Sorcerer II: The Lion, the Wizard and the Wardrobe	platforms	Microsoft Windows
Simon the Sorcerer II: The Lion, the Wizard and the Wardrobe	platforms	MS-DOS
Dark Sector	platforms	Xbox 360
Dark Sector	platforms	PlayStation 3
Dark Sector	platforms	Microsoft Windows
Equinox	platforms	Super Nintendo Entertainment System
Xargon	platforms	MS-DOS
Unreal Tournament 3	platforms	Microsoft Windows
Unreal Tournament 3	platforms	PlayStation 3
Unreal Tournament 3	platforms	Xbox 360
Unreal Tournament 3	platforms	Cloud
Pac 'n Roll	platforms	Nintendo DS, Wii
Edale railway station	platforms	2
Pac-Man Fever	platforms	GameCube
Pac-Man Fever	platforms	PlayStation 2
Fullmetal Alchemist: Dual Sympathy	platforms	Nintendo DS
King's Quest I	platforms	IBM PCjr
King's Quest I	platforms	Tandy 1000
King's Quest I	platforms	Amiga
King's Quest I	platforms	Apple II
King's Quest I	platforms	Apple IIGS
King's Quest I	platforms	Atari ST
King's Quest I	platforms	Macintosh
King's Quest I	platforms	MS-DOS
King's Quest I	platforms	Sega Master System
King's Quest II	platforms	Personal computer
King's Quest II	platforms	Macintosh
King's Quest II	platforms	Apple II
King's Quest II	platforms	Apple IIGS
King's Quest II	platforms	Amiga
King's Quest II	platforms	Atari ST
King's Quest II	platforms	PCjr
King's Quest III	platforms	MS-DOS
King's Quest III	platforms	Apple II Family
King's Quest III	platforms	Apple IIGS
King's Quest III	platforms	Amiga
King's Quest III	platforms	Atari ST
King's Quest III	platforms	Apple Macintosh
King's Quest III	platforms	TRS-80 Color Computer
King's Quest IV	platforms	MS-DOS
King's Quest IV	platforms	Commodore Amiga
King's Quest IV	platforms	Apple II
King's Quest IV	platforms	Apple IIGS
King's Quest IV	platforms	Atari ST
King's Quest V	platforms	MS-DOS
King's Quest V	platforms	Microsoft Windows
King's Quest V	platforms	Nintendo Entertainment System
King's Quest V	platforms	Mac OS
King's Quest V	platforms	Amiga
King's Quest V	platforms	FM Towns
King's Quest V	platforms	Tandy Memorex VIS
King's Quest V	platforms	NEC PC-9801
King's Quest VI	platforms	MS-DOS
King's Quest VI	platforms	Microsoft Windows
King's Quest VI	platforms	Mac OS
King's Quest VI	platforms	Amiga
King's Quest VII	platforms	MS-DOS
King's Quest VII	platforms	Microsoft Windows
King's Quest VII	platforms	Apple Macintosh
Hope	platforms	2
Rise of Nations: Rise of Legends	platforms	Microsoft Windows
East Worthing railway station	platforms	2
Worthing railway station	platforms	3
West Worthing railway station	platforms	2
Lancing railway station	platforms	2
Shoreham-by-Sea railway station	platforms	2
Dalek Attack	platforms	IBM PC compatible
Dalek Attack	platforms	ZX Spectrum
Dalek Attack	platforms	Commodore 64
Dalek Attack	platforms	Amiga
Dalek Attack	platforms	Atari ST
Guilty Gear Dust Strikers	platforms	Nintendo DS
The Sims 2: Nightlife	platforms	Microsoft Windows
The Sims 2: Nightlife	platforms	OS X
Linus Spacehead's Cosmic Crusade	platforms	Nintendo Entertainment System
Linus Spacehead's Cosmic Crusade	platforms	Amiga
Linus Spacehead's Cosmic Crusade	platforms	MS-DOS
Linus Spacehead's Cosmic Crusade	platforms	Sega Game Gear
Linus Spacehead's Cosmic Crusade	platforms	Sega Master System
Linus Spacehead's Cosmic Crusade	platforms	Sega Mega Drive
Monster Rancher	platforms	PlayStation
Micro Maniacs	platforms	PlayStation
Micro Maniacs	platforms	Game Boy Color
Arch Rivals	platforms	Arcade game
Arch Rivals	platforms	Nintendo Entertainment System
Arch Rivals	platforms	Sega Mega Drive
Arch Rivals	platforms	Game Gear
